url,schema_types,status
https://thanhthaimotor.com/kien-thuc-dien-co/tu-van-dong-co-dien/cong-thuc-tinh-cong-suat-tieu-thu,"PaymentMethod, WebPage, BreadcrumbList, Organization, OfferCatalog, Person, Article, ContactPoint, ListItem, PostalAddress, ImageObject",Có Schema
https://thanhthaimotor.com/dong-co-giam-toc/motor-giam-toc-nmrv-30-0-09kw-0-12hp,"PaymentMethod, Offer, MerchantReturnPolicy, Review, Brand, ContactPoint, AggregateRating, MonetaryAmount, QuantitativeValue, PostalAddress, ListItem, ShippingDeliveryTime, Rating, ImageObject, DefinedRegion, PropertyValue, Product, BreadcrumbList, Organization, OfferCatalog, Person, OfferShippingDetails",Có Schema
https://thanhthaimotor.com/kien-thuc-dien-co/tu-van-bien-tan/bien-tan-truc-tiep-va-bien-tan-gian-tiep,"PaymentMethod, WebPage, BreadcrumbList, Organization, OfferCatalog, Person, Article, ContactPoint, ListItem, PostalAddress, ImageObject",Có Schema
"
                    https://thanhthaimotor.com/video/hop-giam-toc/video-review-hop-giam-toc-truc-vit-wpds-100                ","PaymentMethod, VideoObject, BreadcrumbList, Organization, OfferCatalog, ContactPoint, ListItem, PostalAddress",Có Schema
https://thanhthaimotor.com/en/gear-motors/2-stage-nmrv-50-110-gear-motor,"PaymentMethod, BreadcrumbList, Product, Offer, Organization, OfferCatalog, Review, UnitPriceSpecification, Person, ContactPoint, AggregateRating, ListItem, PostalAddress, Rating",Có Schema
https://thanhthaimotor.com/en/1-stage-hb-series-right-angle-bevel-helical-gearboxes,"PaymentMethod, PropertyValue, Product, Offer, BreadcrumbList, Organization, OfferCatalog, aggregateRating, ContactPoint, ListItem, PostalAddress, AggregateOffer, ImageObject, ProductGroup",Có Schema
https://thanhthaimotor.com/dong-co-dien/dong-co-dien-co-phanh-7-5kw-10hp,"PaymentMethod, VideoObject, Offer, MerchantReturnPolicy, Review, Brand, ContactPoint, AggregateRating, MonetaryAmount, QuantitativeValue, PostalAddress, ListItem, ShippingDeliveryTime, Rating, ImageObject, DefinedRegion, PropertyValue, Product, BreadcrumbList, Organization, OfferCatalog, Person, OfferShippingDetails",Có Schema
https://thanhthaimotor.com/may-bom-nuoc-ly-tam-duoi-50m3-h,"PaymentMethod, PropertyValue, Product, Offer, BreadcrumbList, Organization, OfferCatalog, aggregateRating, Brand, ContactPoint, ListItem, PostalAddress, AggregateOffer, ImageObject, ProductGroup",Có Schema
https://thanhthaimotor.com/hop-giam-toc/hop-giam-toc-truc-vit-wpx-70,"PaymentMethod, VideoObject, Offer, MerchantReturnPolicy, Review, Brand, ContactPoint, AggregateRating, MonetaryAmount, QuantitativeValue, PostalAddress, ListItem, ShippingDeliveryTime, Rating, ImageObject, DefinedRegion, PropertyValue, Product, BreadcrumbList, Organization, OfferCatalog, Person, OfferShippingDetails",Có Schema
https://thanhthaimotor.com/en/gearboxes/wpx-70-worm-gearbox,"PaymentMethod, VideoObject, BreadcrumbList, Product, Offer, Organization, OfferCatalog, Review, UnitPriceSpecification, Person, ContactPoint, AggregateRating, ListItem, PostalAddress, Rating",Có Schema
https://thanhthaimotor.com/kien-thuc-dien-co/tu-van-dong-co-dien/cach-dao-chieu-dong-co-dien,"PaymentMethod, WebPage, BreadcrumbList, Organization, OfferCatalog, Person, Article, ContactPoint, ListItem, PostalAddress, ImageObject",Có Schema
https://thanhthaimotor.com/en/payment-policy,"PaymentMethod, WebPage, BreadcrumbList, Organization, OfferCatalog, ContactPoint, ListItem, PostalAddress",Có Schema
https://thanhthaimotor.com/en/variable-frequency-drives/delta-variable-frequency-drive-15kw,"PaymentMethod, BreadcrumbList, Product, Offer, Organization, OfferCatalog, Review, UnitPriceSpecification, Person, ContactPoint, AggregateRating, ListItem, PostalAddress, Rating",Có Schema
https://thanhthaimotor.com/en/gear-motors/3-stage-gear-motor-2-udl-0-37kw-and-1-nmrv-50,"PaymentMethod, BreadcrumbList, Product, Offer, Organization, OfferCatalog, Review, UnitPriceSpecification, Person, ContactPoint, AggregateRating, ListItem, PostalAddress, Rating",Có Schema
